"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",4,1,0,1,0,28,0,0,13.7234888076782,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2",6,1,0,1,0,57,1,0,15.5665054321289,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3",5,0,1,1,0,21,0,0,14.7043180465698,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"4",3,0,0,1,0,33,0,0,14.4166355133057,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"5",6,1,1,1,0,26,0,0,14.8221006393433,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"6",8,1,0,1,0,39,0,0,14.2927160263062,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"7",3,0,1,1,0,32,0,1,14.2343139648438,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",4,1,0,1,0,42,0,0,13.5686435699463,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"9",7,1,1,0,0,55,1,1,14.1802110671997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",5,1,0,0,0,56,0,0,14.2343139648438,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"11",4,1,0,1,0,24,1,0,12.9274482727051,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"12",9,0,0,0,0,29,1,0,13.0227575302124,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13",4,1,0,0,0,34,1,0,15.635498046875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"14",4,1,1,1,0,42,1,0,15.635498046875,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"15",4,1,1,0,1,36,1,0,14.3798246383667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"16",8,1,0,0,0,54,1,0,15.635498046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"17",6,1,0,0,0,37,0,1,13.7880268096924,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",7,1,1,1,0,43,0,0,15.1097831726074,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"19",6,0,0,0,0,25,1,0,14.53688621521,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"20",4,1,0,1,0,38,0,1,13.9265966415405,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",5,1,0,0,0,27,0,0,15.3329267501831,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"22",7,0,0,0,0,32,1,0,14.6321964263916,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"23",4,1,0,1,0,27,0,0,14.9274616241455,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"24",4,1,0,0,1,52,1,0,12.0519790649414,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"25",3,1,1,0,0,40,1,1,13.3329133987427,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",5,0,0,1,0,33,0,0,13.7234888076782,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"27",6,1,0,1,0,55,0,0,14.9274616241455,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28",4,0,0,0,0,38,1,0,11.5411539077759,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"29",3,1,0,1,0,34,0,0,15.6206083297729,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"30",3,0,0,1,0,32,0,0,14.4166355133057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"31",9,1,1,0,0,27,0,0,14.2927160263062,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"32",10,1,0,0,1,35,1,1,14.6910362243652,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",6,1,0,0,0,36,0,0,15.3329267501831,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"34",6,0,0,1,0,32,1,0,15.2300329208374,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"35",5,0,0,1,0,45,1,1,14.53688621521,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",6,1,0,0,0,27,0,0,14.9274616241455,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"37",6,0,0,1,1,56,1,0,14.3545637130737,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
